,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1959-01-01,18.835575405,315.74931055122715,316.570256495866,18.835575405,18.835575405,297.3131399512133,297.3131399512133,297.3131399512133,297.3131399512133,297.3131399512133,297.3131399512133,0.0,0.0,0.0,316.1487153562133
1,1960-01-01,19.530300472716153,316.44434103524685,317.26830051732367,19.530300472716153,19.530300472716153,297.3333339946431,297.3333339946431,297.3333339946431,297.3333339946431,297.3333339946431,297.3333339946431,0.0,0.0,0.0,316.86363446735925
2,1961-01-01,20.226928896782216,317.14885942824395,317.93485115333635,20.226928896782216,20.226928896782216,297.3296356638629,297.3296356638629,297.3296356638629,297.3296356638629,297.3296356638629,297.3296356638629,0.0,0.0,0.0,317.55656456064514
3,1962-01-01,20.918557839425805,317.8267378854854,318.64007615193555,20.918557839425805,20.918557839425805,297.3194521978512,297.3194521978512,297.3194521978512,297.3194521978512,297.3194521978512,297.3194521978512,0.0,0.0,0.0,318.23801003727704
4,1963-01-01,21.610186782069395,318.4890994059855,319.317369415196,21.610186782069395,21.610186782069395,297.3131399512293,297.3131399512293,297.3131399512293,297.3131399512293,297.3131399512293,297.3131399512293,0.0,0.0,0.0,318.92332673329867
5,1964-01-01,22.301815559337378,319.223353231481,320.0382669350532,22.301815559337378,22.301815559337378,297.3333339946379,297.3333339946379,297.3333339946379,297.3333339946379,297.3333339946379,297.3333339946379,0.0,0.0,0.0,319.6351495539753
6,1965-01-01,22.995339209967746,319.9115655819352,320.7230317084581,22.995339209967746,22.995339209967746,297.32963566386513,297.32963566386513,297.32963566386513,297.32963566386513,297.32963566386513,297.32963566386513,0.0,0.0,0.0,320.3249748738329
7,1966-01-01,23.932575066304885,320.855611855099,321.6809995520282,23.932575066304885,23.932575066304885,297.3194521978505,297.3194521978505,297.3194521978505,297.3194521978505,297.3194521978505,297.3194521978505,0.0,0.0,0.0,321.2520272641554
8,1967-01-01,24.869810922642024,321.750771283489,322.5896787965357,24.869810922642024,24.869810922642024,297.3131399512282,297.3131399512282,297.3131399512282,297.3131399512282,297.3131399512282,297.3131399512282,0.0,0.0,0.0,322.18295087387025
9,1968-01-01,25.977667287363644,322.8826727843868,323.7104003104531,25.977667287363644,25.977667287363644,297.33333399462305,297.33333399462305,297.33333399462305,297.33333399462305,297.33333399462305,297.33333399462305,0.0,0.0,0.0,323.3110012819867
