,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1959-01-01,-0.4313478,-0.29921465852296397,-0.04417640731617326,-0.4313478,-0.4313478,0.26178891485643657,0.26178891485643657,0.26178891485643657,0.26178891485643657,0.26178891485643657,0.26178891485643657,0.0,0.0,0.0,-0.16955888514356343
1,1960-01-01,-0.4145919984014837,-0.3022431541957099,-0.04782249616748721,-0.4145919984014837,-0.4145919984014837,0.2429876673706235,0.2429876673706235,0.2429876673706235,0.2429876673706235,0.2429876673706235,0.2429876673706235,0.0,0.0,0.0,-0.1716043310308602
2,1961-01-01,-0.39779029049721804,-0.26627045756162815,0.001062580052744723,-0.39779029049721804,-0.39779029049721804,0.2722960469131051,0.2722960469131051,0.2722960469131051,0.2722960469131051,0.2722960469131051,0.2722960469131051,0.0,0.0,0.0,-0.12549424358411293
3,1962-01-01,-0.38103448891651925,-0.25108028316646896,0.018678394148657056,-0.38103448891651925,-0.38103448891651925,0.27156173999999395,0.27156173999999395,0.27156173999999395,0.27156173999999395,0.27156173999999395,0.27156173999999395,0.0,0.0,0.0,-0.10947274891652531
4,1963-01-01,-0.3642786873358204,-0.23527263203097534,0.034015420808824186,-0.3642786873358204,-0.3642786873358204,0.261788914856432,0.261788914856432,0.261788914856432,0.261788914856432,0.261788914856432,0.261788914856432,0.0,0.0,0.0,-0.1024897724793884
5,1964-01-01,-0.34752288576419665,-0.23588283706349505,0.021462341179175393,-0.34752288576419665,-0.34752288576419665,0.2429876673706226,0.2429876673706226,0.2429876673706226,0.2429876673706226,0.2429876673706226,0.2429876673706226,0.0,0.0,0.0,-0.10453521839357405
6,1965-01-01,-0.3307211778868972,-0.19566634758373103,0.06571442428544355,-0.3307211778868972,-0.3307211778868972,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.0,0.0,0.0,-0.058425130973793926
7,1966-01-01,-0.31396537632458693,-0.17439868975176165,0.07869863348089581,-0.31396537632458693,-0.31396537632458693,0.27156173999999667,0.27156173999999667,0.27156173999999667,0.27156173999999667,0.27156173999999667,0.27156173999999667,0.0,0.0,0.0,-0.042403636324590266
8,1967-01-01,-0.29720957476227666,-0.1624419512183679,0.09184560860236403,-0.29720957476227666,-0.29720957476227666,0.2617889148564293,0.2617889148564293,0.2617889148564293,0.2617889148564293,0.2617889148564293,0.2617889148564293,0.0,0.0,0.0,-0.03542065990584736
9,1968-01-01,-0.28045377321264614,-0.17179399662092257,0.09922515026343917,-0.28045377321264614,-0.28045377321264614,0.2429876673705936,0.2429876673705936,0.2429876673705936,0.2429876673705936,0.2429876673705936,0.2429876673705936,0.0,0.0,0.0,-0.03746610584205254
10,1969-01-01,-0.26365206535740016,-0.1204338319230534,0.13056314527326374,-0.26365206535740016,-0.26365206535740016,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.0,0.0,0.0,0.008643981555703117
11,1970-01-01,-0.2468962638122193,-0.10423870767871928,0.15527725452380536,-0.2468962638122193,-0.2468962638122193,0.2715617400000003,0.2715617400000003,0.2715617400000003,0.2715617400000003,0.2715617400000003,0.2715617400000003,0.0,0.0,0.0,0.024665476187780977
12,1971-01-01,-0.2301404622670384,-0.10017006480734472,0.16782784985324653,-0.2301404622670384,-0.2301404622670384,0.2617889148564257,0.2617889148564257,0.2617889148564257,0.2617889148564257,0.2617889148564257,0.2617889148564257,0.0,0.0,0.0,0.03164845258938728
13,1972-01-01,-0.21338466072152046,-0.09376087810959577,0.16213189864357053,-0.21338466072152046,-0.21338466072152046,0.2429876673706081,0.2429876673706081,0.2429876673706081,0.2429876673706081,0.2429876673706081,0.2429876673706081,0.0,0.0,0.0,0.029603006649087632
14,1973-01-01,-0.19658295287039831,-0.06041021758795204,0.20031356351733562,-0.19658295287039831,-0.19658295287039831,0.2722960469131078,0.2722960469131078,0.2722960469131078,0.2722960469131078,0.2722960469131078,0.2722960469131078,0.0,0.0,0.0,0.07571309404270951
15,1974-01-01,-0.17982502918528837,-0.03254281555729854,0.21914789813583344,-0.17982502918528837,-0.17982502918528837,0.2715617400000048,0.2715617400000048,0.2715617400000048,0.2715617400000048,0.2715617400000048,0.2715617400000048,0.0,0.0,0.0,0.09173671081471646
16,1975-01-01,-0.16306710550017844,-0.0356224092496091,0.23764140943026754,-0.16306710550017844,-0.16306710550017844,0.26178891485642114,0.26178891485642114,0.26178891485642114,0.26178891485642114,0.26178891485642114,0.26178891485642114,0.0,0.0,0.0,0.0987218093562427
17,1976-01-01,-0.1463080302118948,-0.03271483102052294,0.22386427797789385,-0.1463080302118948,-0.1463080302118948,0.2429876673706072,0.2429876673706072,0.2429876673706072,0.2429876673706072,0.2429876673706072,0.2429876673706072,0.0,0.0,0.0,0.09667963715871239
