,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1961-01-01,-0.11923827666666668,-0.20695331429978597,-0.048648244585188724,-0.11923827666666668,-0.11923827666666668,-0.014066773938456643,-0.014066773938456643,-0.014066773938456643,-0.014066773938456643,-0.014066773938456643,-0.014066773938456643,0.0,0.0,0.0,-0.13330505060512332
1,1962-01-01,-0.10423314015742643,-0.19734721751008885,-0.039884464271133874,-0.10423314015742643,-0.10423314015742643,-0.012335498333332853,-0.012335498333332853,-0.012335498333332853,-0.012335498333332853,-0.012335498333332853,-0.012335498333332853,0.0,0.0,0.0,-0.11656863849075928
2,1963-01-01,-0.0892280036481862,-0.18433898016461195,-0.020100501442979694,-0.0892280036481862,-0.0892280036481862,-0.012995576452687103,-0.012995576452687103,-0.012995576452687103,-0.012995576452687103,-0.012995576452687103,-0.012995576452687103,0.0,0.0,0.0,-0.1022235801008733
3,1964-01-01,-0.07422286706659717,-0.16870141952928094,-0.009859195375192628,-0.07422286706659717,-0.07422286706659717,-0.01604836453737835,-0.01604836453737835,-0.01604836453737835,-0.01604836453737835,-0.01604836453737835,-0.01604836453737835,0.0,0.0,0.0,-0.09027123160397552
4,1965-01-01,-0.059176620521770945,-0.15424376274589313,0.008145368061134904,-0.059176620521770945,-0.059176620521770945,-0.014066773938457061,-0.014066773938457061,-0.014066773938457061,-0.014066773938457061,-0.014066773938457061,-0.014066773938457061,0.0,0.0,0.0,-0.07324339446022801
5,1966-01-01,-0.04417148397185514,-0.14307300353870994,0.026438714862787687,-0.04417148397185514,-0.04417148397185514,-0.012335498333333273,-0.012335498333333273,-0.012335498333333273,-0.012335498333333273,-0.012335498333333273,-0.012335498333333273,0.0,0.0,0.0,-0.056506982305188413
6,1967-01-01,-0.029166347421939326,-0.11997931084376863,0.03826323142526316,-0.029166347421939326,-0.029166347421939326,-0.012995576452687313,-0.012995576452687313,-0.012995576452687313,-0.012995576452687313,-0.012995576452687313,-0.012995576452687313,0.0,0.0,0.0,-0.04216192387462664
7,1968-01-01,-0.014161210891774396,-0.1116067785719821,0.05232177834128634,-0.014161210891774396,-0.014161210891774396,-0.016048364537382957,-0.016048364537382957,-0.016048364537382957,-0.016048364537382957,-0.016048364537382957,-0.016048364537382957,0.0,0.0,0.0,-0.03020957542915735
8,1969-01-01,0.0008850356014868682,-0.09716587064312902,0.06953220789253009,0.0008850356014868682,0.0008850356014868682,-0.014066773938456852,-0.014066773938456852,-0.014066773938456852,-0.014066773938456852,-0.014066773938456852,-0.014066773938456852,0.0,0.0,0.0,-0.013181738336969983
9,1970-01-01,0.01589017214382233,-0.07691364185121877,0.08836774946783604,0.01589017214382233,0.01589017214382233,-0.012335498333333483,-0.012335498333333483,-0.012335498333333483,-0.012335498333333483,-0.012335498333333483,-0.012335498333333483,0.0,0.0,0.0,0.0035546738104888474
10,1971-01-01,0.030895308677540444,-0.05802833215007304,0.10073662692670814,0.030895308677540444,0.030895308677540444,-0.012995576452687313,-0.012995576452687313,-0.012995576452687313,-0.012995576452687313,-0.012995576452687313,-0.012995576452687313,0.0,0.0,0.0,0.01789973222485313
11,1972-01-01,0.04590044521125856,-0.05926312590701427,0.10924877059747615,0.04590044521125856,0.04590044521125856,-0.016048364537380025,-0.016048364537380025,-0.016048364537380025,-0.016048364537380025,-0.016048364537380025,-0.016048364537380025,0.0,0.0,0.0,0.029852080673878532
12,1973-01-01,0.060950078217929915,-0.030878256662699406,0.11953110996994347,0.060950078217929915,0.060950078217929915,-0.01406677393845434,-0.01406677393845434,-0.01406677393845434,-0.01406677393845434,-0.01406677393845434,-0.01406677393845434,0.0,0.0,0.0,0.046883304279475575
13,1974-01-01,0.075958592008736,-0.015411360312934053,0.14240328325984933,0.075958592008736,0.075958592008736,-0.01233549833333369,-0.01233549833333369,-0.01233549833333369,-0.01233549833333369,-0.01233549833333369,-0.01233549833333369,0.0,0.0,0.0,0.06362309367540231
